algorithm,total_ms,feature_ms,match_ms,num_kp1,num_kp2,num_matches,num_good_matches,num_inliers,inlier_ratio
ORB+BF,459.3343999986246,150.40850000150385,62.93569999979809,4000,4000,4000,1023,1006,0.9833822091886608
ORB+FLANN,579.2796999994607,57.34470000243164,279.24679999705404,4000,4000,4000,1042,1013,0.972168905950096
SIFT+BF,654.1142999994918,349.9515000003157,38.93189999871538,4000,4001,4000,1363,1353,0.9926632428466617
SIFT+FLANN,766.9735999988916,382.5366999990365,131.07379999928526,4000,4001,4000,1370,1352,0.9868613138686131
